game_id,prior_wp,posteam,home_team,away_team,desc,play_type,go_boost,go,should_go,yardline_100,ydstogo,qtr,mins,seconds,week
2017_17_ARI_SEA,0.5703491568565369,SEA,SEA,ARI,"(:37) 7-B.Walsh 48 yard field goal is No Good, Wide Right, Center-69-T.Ott, Holder-9-J.Ryan.",FIELD_GOAL,-30.938799015200598,0,0,30,9,4,0,37,17
2017_15_TEN_SF,0.5596244931221008,SF,SF,TEN,"(3:13) 9-R.Gould 48 yard field goal is GOOD, Center-86-K.Nelson, Holder-5-B.Pinion.",FIELD_GOAL,-20.414341816599382,0,0,30,26,4,3,13,15
2017_07_NYJ_MIA,0.5254043340682983,MIA,MIA,NYJ,"(:58) (Punt formation) 16-M.Haack punts 35 yards to NYJ 15, Center-92-J.Denney, downed by MIA-92-J.Denney.",PUNT,-17.930503779059407,0,0,50,19,4,0,58,7
2017_11_DET_CHI,0.6343952417373657,DET,CHI,DET,"(1:40) (Field Goal formation) 5-M.Prater 52 yard field goal is GOOD, Center-48-D.Muhlbach, Holder-6-S.Martin.",FIELD_GOAL,-17.86481614585945,0,0,34,18,4,1,40,11
2017_07_TEN_CLE,0.6701626181602478,TEN,CLE,TEN,"(4:26) (Punt formation) 6-B.Kern punts 51 yards to CLE 34, Center-48-B.Brinkley. 11-B.Treggs to CLE 47 for 13 yards (50-N.Palmer). PENALTY on CLE-20-B.Boddy-Calhoun, Illegal Block Above the Waist, 10 yards, enforced at CLE 43.",PUNT,-16.50206175015117,0,0,85,16,4,4,26,7
2017_14_BAL_PIT,0.569922685623169,PIT,PIT,BAL,"(:46) (Field Goal formation) 9-C.Boswell 46 yard field goal is GOOD, Center-57-K.Canaday, Holder-4-J.Berry.",FIELD_GOAL,-16.297126233433673,0,0,28,8,4,0,46,14
2017_10_LAC_JAX,0.6483209133148193,LAC,JAX,LAC,"(2:51) (Punt formation) 8-D.Kaser punts 44 yards to JAX 25, Center-47-M.Windt. 85-J.Mickens to JAX 29 for 4 yards (30-A.Ekeler).",PUNT,-14.055383294019173,0,0,69,9,4,2,51,10
2017_06_MIA_ATL,0.4651537537574768,MIA,ATL,MIA,"(2:35) 1-C.Parkey 38 yard field goal is GOOD, Center-92-J.Denney, Holder-16-M.Haack.",FIELD_GOAL,-13.96355496896787,0,0,20,11,4,2,35,6
2017_04_JAX_NYJ,0.516502320766449,JAX,NYJ,JAX,"(:49) 2-J.Myers 22 yard field goal is GOOD, Center-43-M.Overton, Holder-3-B.Nortman.",FIELD_GOAL,-13.881905845667752,0,0,4,4,4,0,49,4
2017_17_NO_TB,0.6802641153335571,NO,TB,NO,"(2:07) (Punt formation) PENALTY on NO-6-T.Morstead, Delay of Game, 5 yards, enforced at TB 47 - No Play.",PENALTY,-12.408196451512907,0,0,47,17,4,2,7,17
2017_04_SF_ARI,0.4133111536502838,ARI,ARI,SF,"(2:35) 2-A.Lee punts 58 yards to SF 13, Center-46-A.Brewer. 81-T.Taylor ran ob at SF 23 for 10 yards (10-B.Golden).",PUNT,-12.159589062230673,0,0,71,26,4,2,35,4
2017_10_CIN_TEN,0.6960424780845642,TEN,TEN,CIN,"(8:38) (Punt formation) 6-B.Kern punts 74 yards to end zone, Center-48-B.Brinkley, Touchback.",PUNT,-11.926924233236306,0,0,74,18,4,8,38,10
2017_08_IND_CIN,0.6122130155563354,CIN,CIN,IND,"(2:56) 10-K.Huber punts 41 yards to IND 24, Center-46-C.Harris, downed by CIN-80-J.Malone.",PUNT,-11.465681548693382,0,0,65,14,4,2,56,8
2017_11_TB_MIA,0.792018473148346,TB,MIA,TB,"(8:59) (Punt formation) 9-B.Anger punts 45 yards to TB 46, Center-65-G.Sanborn. 14-J.Landry to TB 33 for 13 yards (53-A.Glanton). MIA-14-J.Landry was injured during the play. His return is Questionable.  PENALTY on MIA-31-M.Thomas, Offensive Holding, 10 yards, enforced at TB 33.",PUNT,-11.452269524548214,0,0,99,24,4,8,59,11
2017_07_TB_BUF,0.6390796303749084,BUF,BUF,TB,"(5:28) 6-C.Schmidt punts 46 yards to TB 46, Center-69-R.Ferguson. 18-B.Reedy to BUF 43 for 11 yards (57-L.Alexander, 69-R.Ferguson). PENALTY on TB-59-D.Bond, Offensive Holding, 10 yards, enforced at TB 46. B.Reedy credited with 0 yd. return (penalty enforced from end of kick).",PUNT,-11.125950676908872,0,0,92,27,3,5,28,7
2017_03_NYG_PHI,0.5680408477783203,NYG,PHI,NYG,"(3:11) 2-A.Rosas 41 yard field goal is GOOD, Center-51-Z.DeOssie, Holder-9-B.Wing.",FIELD_GOAL,-10.935898219415165,0,0,23,7,4,3,11,3
2017_05_LAC_NYG,0.6770251393318176,NYG,NYG,LAC,"(9:17) 9-B.Wing punts 55 yards to LAC 32, Center-51-Z.DeOssie. 12-T.Benjamin to LAC 39 for 7 yards (95-N.Capi).",PUNT,-10.692785888129983,0,0,87,17,4,9,17,5
2017_13_SF_CHI,0.525725245475769,CHI,CHI,SF,"(15:00) (Punt formation) 16-P.O'Donnell punts 39 yards to SF 46, Center-49-A.DePaola. 81-T.Taylor to SF 48 for 2 yards (27-S.McManis).",PUNT,-10.621768270517336,0,0,85,20,4,15,0,13
2017_10_CIN_TEN,0.725519597530365,TEN,TEN,CIN,"(5:59) (Punt formation) 6-B.Kern punts 66 yards to CIN 11, Center-48-B.Brinkley. 12-A.Erickson to CIN 18 for 7 yards (59-W.Woodyard).",PUNT,-10.574602555037501,0,0,77,13,4,5,59,10
2017_11_ATL_SEA,0.7409202456474304,ATL,SEA,ATL,"(1:55) 5-M.Bosher punts 48 yards to SEA 35, Center-47-J.Harris. 16-T.Lockett to SEA 35 for no gain (17-M.Hall). PENALTY on SEA-59-J.Forrest, Offensive Holding, 10 yards, enforced at SEA 35.",PUNT,-10.35852952530373,0,0,83,8,4,1,55,11
2017_04_SF_ARI,0.4579543471336365,SF,ARI,SF,"(13:55) 5-B.Pinion punts 45 yards to ARI 36, Center-86-K.Nelson, fair catch by 21-P.Peterson.",PUNT,-10.189265287919362,0,0,81,16,4,13,55,4
