game_id,play_id,season,week,prior_wp,url,posteam,home_team,away_team,desc,play_type,go_boost,go,should_go,yardline_100,ydstogo,qtr,mins,seconds
2020_02_WAS_ARI,2348,2020,2,0.9862759113311768,https://rbsdm.com/stats/fourth_calculator/?_inputs_&posteam_to=%223%22&posteam=%22ARI%22&home_ko=%220%22&mins=13&update=0&defteam_to=%223%22&qtr=%223%22&season=%222020%22&away=%22WAS%22&yardline=69&secs=19&score_diff=20&home=%22ARI%22&ydstogo=4&runoff=0,ARI,ARI,WAS,"(13:19) 4-A.Lee punts 58 yards to WAS 11, Center-46-A.Brewer. 15-S.Sims to WAS 15 for 4 yards (45-D.Gardeck).",PUNT,-0.5835793773078422,0,0,69,4,3,13,19
2020_02_WAS_ARI,2597,2020,2,0.9858497977256775,https://rbsdm.com/stats/fourth_calculator/?_inputs_&posteam_to=%222%22&posteam=%22ARI%22&home_ko=%220%22&mins=9&update=0&defteam_to=%223%22&qtr=%223%22&season=%222020%22&away=%22WAS%22&yardline=73&secs=39&score_diff=20&home=%22ARI%22&ydstogo=1&runoff=0,ARI,ARI,WAS,(9:39) ARI #15-Streveler in at QB 13-C.Kirk left end to ARI 30 for 3 yards (23-R.Darby).,RUSH,0.32628007817581306,1,1,73,1,3,9,39
2020_02_WAS_ARI,2725,2020,2,0.9810855388641357,https://rbsdm.com/stats/fourth_calculator/?_inputs_&posteam_to=%222%22&posteam=%22ARI%22&home_ko=%220%22&mins=8&update=0&defteam_to=%223%22&qtr=%223%22&season=%222020%22&away=%22WAS%22&yardline=86&secs=19&score_diff=20&home=%22ARI%22&ydstogo=26&runoff=0,ARI,ARI,WAS,"(8:19) 4-A.Lee punts 44 yards to WAS 42, Center-46-A.Brewer. 37-G.Stroman to WAS 43 for 1 yard (16-T.Sherfield).",PUNT,-0.27218390274452986,0,0,86,26,3,8,19
2020_02_WAS_ARI,3168,2020,2,0.9913853406906128,https://rbsdm.com/stats/fourth_calculator/?_inputs_&posteam_to=%222%22&posteam=%22ARI%22&home_ko=%220%22&mins=1&update=0&defteam_to=%223%22&qtr=%223%22&season=%222020%22&away=%22WAS%22&yardline=37&secs=11&score_diff=17&home=%22ARI%22&ydstogo=4&runoff=0,ARI,ARI,WAS,(1:11) (Shotgun) 1-K.Murray pass short middle to 11-L.Fitzgerald to WAS 25 for 12 yards (54-K.Pierre-Louis).,PASS,-0.037776891408114466,1,0,37,4,3,1,11
2020_02_WAS_ARI,3701,2020,2,0.9959784746170044,https://rbsdm.com/stats/fourth_calculator/?_inputs_&posteam_to=%222%22&posteam=%22ARI%22&home_ko=%220%22&mins=9&update=0&defteam_to=%223%22&qtr=%224%22&season=%222020%22&away=%22WAS%22&yardline=60&secs=41&score_diff=18&home=%22ARI%22&ydstogo=5&runoff=0,ARI,ARI,WAS,"(9:41) 4-A.Lee punts 38 yards to WAS 22, Center-46-A.Brewer, fair catch by 15-S.Sims.",PUNT,0.1429268636577632,0,1,60,5,4,9,41
2020_03_DET_ARI,467,2020,3,0.5797201991081238,https://rbsdm.com/stats/fourth_calculator/?_inputs_&posteam_to=%223%22&posteam=%22ARI%22&home_ko=%220%22&mins=7&update=0&defteam_to=%223%22&qtr=%221%22&season=%222020%22&away=%22DET%22&yardline=63&secs=0&score_diff=-3&home=%22ARI%22&ydstogo=1&runoff=0,ARI,ARI,DET,"(7:00) (No Huddle, Shotgun) 41-K.Drake left tackle to ARI 40 for 3 yards (52-Ch.Jones).",RUSH,5.3409869432677155,1,1,63,1,1,7,0
2020_03_DET_ARI,2364,2020,3,0.5127504467964172,https://rbsdm.com/stats/fourth_calculator/?_inputs_&posteam_to=%222%22&posteam=%22ARI%22&home_ko=%220%22&mins=11&update=0&defteam_to=%223%22&qtr=%223%22&season=%222020%22&away=%22DET%22&yardline=31&secs=24&score_diff=-4&home=%22ARI%22&ydstogo=1&runoff=0,ARI,ARI,DET,"(11:24) ARI #15-Streveler in at QB (Run formation) 71-J.Murray reported in as eligible.  PENALTY on ARI-85-D.Arnold, False Start, 5 yards, enforced at DET 31 - No Play.",PENALTY,8.518775524947891,0,1,31,1,3,11,24
2020_03_DET_ARI,3534,2020,3,0.6236189007759094,https://rbsdm.com/stats/fourth_calculator/?_inputs_&posteam_to=%222%22&posteam=%22ARI%22&home_ko=%220%22&mins=11&update=0&defteam_to=%223%22&qtr=%224%22&season=%222020%22&away=%22DET%22&yardline=96&secs=14&score_diff=3&home=%22ARI%22&ydstogo=8&runoff=0,ARI,ARI,DET,"(11:14) 4-A.Lee punts 51 yards to DET 45, Center-46-A.Brewer. 39-J.Agnew to ARI 36 for 19 yards (43-H.Reddick; 47-E.Turner).",PUNT,-3.071048726570268,0,0,96,8,4,11,14
2020_03_DET_ARI,3908,2020,3,0.48830050230026245,https://rbsdm.com/stats/fourth_calculator/?_inputs_&posteam_to=%222%22&posteam=%22ARI%22&home_ko=%220%22&mins=4&update=0&defteam_to=%223%22&qtr=%224%22&season=%222020%22&away=%22DET%22&yardline=50&secs=58&score_diff=0&home=%22ARI%22&ydstogo=9&runoff=0,ARI,ARI,DET,"(4:58) 4-A.Lee punts 41 yards to DET 9, Center-46-A.Brewer, downed by ARI-16-T.Sherfield.",PUNT,-0.4419900005130941,0,0,50,9,4,4,58
2020_04_ARI_CAR,169,2020,4,0.5638467073440552,https://rbsdm.com/stats/fourth_calculator/?_inputs_&posteam_to=%223%22&posteam=%22ARI%22&home_ko=%220%22&mins=13&update=0&defteam_to=%223%22&qtr=%221%22&season=%222020%22&away=%22ARI%22&yardline=63&secs=13&score_diff=0&home=%22CAR%22&ydstogo=8&runoff=0,ARI,CAR,ARI,"(13:13) 4-A.Lee punts 29 yards to CAR 34, Center-46-A.Brewer, downed by ARI-45-D.Gardeck. Punt tipped by CAR #42",PUNT,0.002218072625183254,0,1,63,8,1,13,13
