game_id,prior_wp,posteam,home_team,away_team,desc,play_type,go_boost,go,should_go,yardline_100,ydstogo,qtr,mins,seconds,week
2019_14_MIA_NYJ,0.6126803755760193,MIA,NYJ,MIA,"(1:37) 7-J.Sanders 37 yard field goal is GOOD, Center-46-T.Pepper, Holder-2-M.Haack.",FIELD_GOAL,-27.36195425816755,0,0,19,14,4,1,37,14
2019_09_IND_PIT,0.6119838953018188,IND,PIT,IND,"(1:14) (Field Goal formation) 4-A.Vinatieri 43 yard field goal is No Good, Wide Left, Center-46-L.Rhodes, Holder-8-R.Sanchez.",FIELD_GOAL,-17.670609328691263,0,0,25,4,4,1,14,9
2019_11_ARI_SF,0.5825622081756592,ARI,SF,ARI,"(2:22) 4-A.Lee punts 52 yards to SF 29, Center-46-A.Brewer. 13-R.James Jr. to SF 35 for 6 yards (28-C.Washington).",PUNT,-17.404556421122706,0,0,81,16,4,2,22,11
2019_04_DAL_NO,0.7156153321266174,NO,NO,DAL,"(1:45) 6-T.Morstead punts 33 yards to DAL 14, Center-49-Z.Wood, fair catch by 18-R.Cobb.",PUNT,-16.98023121507621,0,0,47,24,4,1,45,4
2019_18_MIN_NO,0.6810067892074585,MIN,NO,MIN,"(2:10) 2-B.Colquitt punts 46 yards to NO 20, Center-58-A.Cutting. 11-D.Harris to NO 30 for 10 yards (31-A.Abdullah; 58-A.Cutting).",PUNT,-16.515247161069176,0,0,66,23,4,2,10,18
2019_10_LA_PIT,0.963845431804657,PIT,PIT,LA,"(1:10) (Punt formation) 4-J.Berry punts 38 yards to LA 35, Center-57-K.Canaday, downed by PIT-25-A.Burns. The Replay Official reviewed the runner was inbounds ruling, and the play was REVERSED. (Punt formation) 4-J.Berry punts 38 yards to LA 35, Center-57-K.Canaday, downed by PIT-25-A.Burns. PENALTY on PIT-25-A.Burns, Illegal Touch Kick, 5 yards, enforced at LA 35.",PUNT,-14.732363292227888,0,0,73,13,4,1,10,10
2019_02_IND_TEN,0.7858254313468933,IND,TEN,IND,"(1:14) (Punt formation) 8-R.Sanchez punts 35 yards to TEN 28, Center-46-L.Rhodes, out of bounds.",PUNT,-14.4541828169438,0,0,63,9,4,1,14,2
2019_12_CAR_NO,0.6149053573608398,CAR,NO,CAR,"(2:00) 4-J.Slye 28 yard field goal is No Good, Wide Right, Center-44-J.Jansen, Holder-5-M.Palardy.",FIELD_GOAL,-14.286554659399009,0,0,10,10,4,2,0,12
2019_04_JAX_DEN,0.5644220113754272,JAX,DEN,JAX,"(11:37) 9-L.Cooke punts 39 yards to DEN 36, Center-46-M.Orzech, fair catch by 11-D.Spencer.",PUNT,-13.856548871684147,0,0,75,23,4,11,37,4
2019_02_TB_CAR,0.5481255650520325,TB,CAR,TB,"(9:37) 8-B.Pinion punts 48 yards to CAR 21, Center-97-Z.Triner, downed by TB-85-B.Wilson.",PUNT,-13.079933907583303,0,0,69,25,4,9,37,2
2019_12_DET_WAS,0.6589100360870361,DET,WAS,DET,"(9:03) 6-S.Martin punts 50 yards to WAS 22, Center-48-D.Muhlbach. 18-T.Quinn to WAS 22 for no gain (30-D.Virgin).",PUNT,-12.874135484378904,0,0,72,17,4,9,3,12
2019_06_DET_GB,0.4069235324859619,GB,GB,DET,"(:11) 2-M.Crosby 37 yard field goal is GOOD, Center-43-H.Bradley, Holder-6-J.Scott.",FIELD_GOAL,-12.720115843111614,0,0,19,19,2,0,11,6
2019_04_DAL_NO,0.5024251937866211,NO,NO,DAL,"(6:58) 6-T.Morstead punts 47 yards to DAL 20, Center-49-Z.Wood. 10-T.Austin ran ob at DAL 20 for no gain (34-J.Hardee). PENALTY on DAL-38-J.Heath, Offensive Holding, 10 yards, enforced at DAL 20.",PUNT,-12.482844492819353,0,0,67,16,4,6,58,4
2019_06_SEA_CLE,0.6145363450050354,SEA,CLE,SEA,"(9:53) 4-M.Dickson punts 23 yards to SEA 24, Center-69-T.Ott, out of bounds.",PUNT,-11.801984344380209,0,0,99,11,4,9,53,6
2019_05_BAL_PIT,0.5781970024108887,PIT,PIT,BAL,"(2:41) (Field Goal formation) 9-C.Boswell 33 yard field goal is GOOD, Center-57-K.Canaday, Holder-4-J.Berry.",FIELD_GOAL,-11.661996124039113,0,0,15,7,4,2,41,5
2019_09_IND_PIT,0.6748182773590088,PIT,PIT,IND,"(2:35) (Punt formation) 4-J.Berry punts 48 yards to IND 15, Center-57-K.Canaday, fair catch by 80-C.Rogers.",PUNT,-11.583208627782263,0,0,63,8,4,2,35,9
2019_08_TB_TEN,0.9741227030754089,TEN,TEN,TB,"(:50) (Punt formation) 6-B.Kern punts 40 yards to TB 24, Center-48-B.Brinkley, out of bounds.",PUNT,-11.15501535438726,0,0,64,7,4,0,50,8
2019_11_CHI_LA,0.6458644866943359,LA,LA,CHI,"(9:20) 6-J.Hekker punts 67 yards to CHI 17, Center-44-J.McQuaide, downed by LA-57-N.Patrick.",PUNT,-11.05902056329365,0,0,84,15,4,9,20,11
