game_id,prior_wp,posteam,home_team,away_team,desc,play_type,go_boost,go,should_go,yardline_100,ydstogo,qtr,mins,seconds,week
2018_11_OAK_ARI,0.6514862179756165,ARI,ARI,LV,"(2:00) 2-A.Lee punts 59 yards to end zone, Center-46-A.Brewer, Touchback.",PUNT,-23.741952030457348,0,0,59,25,4,2,0,11
2018_08_GB_LA,0.6699071526527405,LA,LA,GB,"(2:09) 4-G.Zuerlein 34 yard field goal is GOOD, Center-44-J.McQuaide, Holder-6-J.Hekker.",FIELD_GOAL,-21.817477021206997,0,0,16,13,4,2,9,8
2018_17_CLE_BAL,0.705912709236145,BAL,BAL,CLE,"(2:00) (Punt formation) 4-S.Koch punts 51 yards to CLE 25, Center-46-M.Cox. 11-A.Callaway to CLE 26 for 1 yard (41-A.Levine Sr.).",PUNT,-17.406837435955445,0,0,76,11,4,2,0,17
2018_05_BAL_CLE,0.4500616788864136,BAL,CLE,BAL,"(:56) (Field Goal formation) 9-J.Tucker 32 yard field goal is GOOD, Center-46-M.Cox, Holder-4-S.Koch.",FIELD_GOAL,-15.911449367793637,0,0,14,10,4,0,56,5
2018_05_BAL_CLE,0.5849373936653137,CLE,CLE,BAL,"(4:39) (Punt formation) 4-B.Colquitt punts 44 yards to BAL 33, Center-47-C.Hughlett. 14-T.White to CLE 42 for 25 yards (55-G.Avery). PENALTY on BAL-40-K.Young, Illegal Block Above the Waist, 10 yards, enforced at BAL 44.",PUNT,-15.167602927344923,0,0,77,12,4,4,39,5
2018_01_ATL_PHI,0.5544350147247314,ATL,PHI,ATL,"(5:04) 5-M.Bosher punts 52 yards to PHI 19, Center-46-J.Overbaugh. 43-D.Sproles to PHI 31 for 12 yards (85-E.Saubert; 36-K.Ishmael). PENALTY on ATL-85-E.Saubert, Face Mask (15 Yards), 15 yards, enforced at PHI 31.",PUNT,-14.30012157271598,0,0,71,14,4,5,4,1
2018_20_LA_NO,0.7323453426361084,NO,NO,LA,"(1:45) 3-W.Lutz 31 yard field goal is GOOD, Center-49-Z.Wood, Holder-6-T.Morstead.",FIELD_GOAL,-13.939850989905835,0,0,13,10,4,1,45,20
2018_10_DAL_PHI,0.9843584299087524,DAL,PHI,DAL,"(:53) 6-C.Jones punts 44 yards to PHI 33, Center-91-L.Ladouceur. 19-G.Tate to PHI 32 for -1 yards (49-J.Olawale; 35-K.Frazier).",PUNT,-13.462586279586745,0,0,77,16,4,0,53,10
2018_06_SF_GB,0.7435727119445801,SF,GB,SF,"(3:08) 5-B.Pinion punts 47 yards to GB 42, Center-86-K.Nelson, fair catch by 38-T.Williams.",PUNT,-12.920379469725603,0,0,89,22,4,3,8,6
2018_07_CAR_PHI,0.7204203009605408,PHI,PHI,CAR,"(2:28) 1-C.Johnston punts 53 yards to CAR 22, Center-45-R.Lovato. 18-D.Byrd to CAR 31 for 9 yards (37-T.Sullivan).",PUNT,-12.327583769832934,0,0,75,10,4,2,28,7
