game_id,season,week,prior_wp,posteam,home_team,away_team,desc,play_type,go_boost,go,should_go,yardline_100,ydstogo,qtr,mins,seconds
2012_01_SEA_ARI,2012,1,0.45017656683921814,ARI,ARI,SEA,"(:38) 3-J.Feely 21 yard field goal is GOOD, Center-82-M.Leach, Holder-9-D.Zastudil.",FIELD_GOAL,-2.5174194293737457,0,0,3,3,1,0,38
2012_01_SEA_ARI,2012,1,0.7180387377738953,ARI,ARI,SEA,"(:55) 9-D.Zastudil punts 39 yards to SEA 15, Center-82-M.Leach. 39-B.Browner to SEA 14 for -1 yards (27-M.Adams).",PUNT,-1.9081661128819292,0,0,54,10,2,0,55
2012_01_SEA_ARI,2012,1,0.6895492076873779,ARI,ARI,SEA,"(13:27) 9-D.Zastudil punts 47 yards to SEA 24, Center-82-M.Leach. 33-L.Washington to SEA 19 for -5 yards (54-Q.Groves; 56-R.Walker). PENALTY on SEA-39-B.Browner, Offensive Holding, 5 yards, enforced at SEA 19.",PUNT,1.25160000171455,0,1,71,1,3,13,27
2012_01_SEA_ARI,2012,1,0.7838072180747986,ARI,ARI,SEA,"(10:03) 3-J.Feely 31 yard field goal is GOOD, Center-82-M.Leach, Holder-9-D.Zastudil.",FIELD_GOAL,-1.0767285210175856,0,0,13,6,3,10,3
2012_01_SEA_ARI,2012,1,0.364705353975296,ARI,ARI,SEA,"(3:45) 9-D.Zastudil punts 50 yards to SEA 27, Center-82-M.Leach. 33-L.Washington to SEA 31 for 4 yards (49-R.Johnson).",PUNT,-2.4987689064879035,0,0,77,7,3,3,45
2012_01_SEA_ARI,2012,1,0.37225496768951416,ARI,ARI,SEA,"(:23) 9-D.Zastudil punts 49 yards to SEA 28, Center-82-M.Leach, fair catch by 33-L.Washington.",PUNT,-2.357486543853774,0,0,77,7,3,0,23
2012_01_SEA_ARI,2012,1,0.32802900671958923,ARI,ARI,SEA,"(11:15) 9-D.Zastudil punts 53 yards to SEA 32, Center-82-M.Leach. 33-L.Washington to ARI 16 for 52 yards (82-M.Leach).",PUNT,-5.594383843451091,0,0,85,13,4,11,15
2012_02_ARI_NE,2012,2,0.20678725838661194,ARI,NE,ARI,"(8:47) 3-J.Feely 38 yard field goal is GOOD, Center-82-M.Leach, Holder-9-D.Zastudil.",FIELD_GOAL,0.3217438388914111,0,1,20,3,1,8,47
2012_02_ARI_NE,2012,2,0.2823418974876404,ARI,NE,ARI,"(7:47) 3-J.Feely 47 yard field goal is GOOD, Center-82-M.Leach, Holder-9-D.Zastudil.",FIELD_GOAL,3.4154259012368016,0,1,29,3,1,7,47
2012_02_ARI_NE,2012,2,0.2152111828327179,ARI,NE,ARI,"(:33) 9-D.Zastudil punts 44 yards to NE 28, Center-82-M.Leach, fair catch by 11-J.Edelman.",PUNT,-1.8855048262380123,0,0,72,2,1,0,33
2012_02_ARI_NE,2012,2,0.21709086000919342,ARI,NE,ARI,"(12:53) 9-D.Zastudil punts 59 yards to NE 32, Center-82-M.Leach. 11-J.Edelman to ARI 46 for 22 yards (39-J.Sanders).",PUNT,-3.6582948163920577,0,0,91,17,2,12,53
2012_02_ARI_NE,2012,2,0.17902015149593353,ARI,NE,ARI,"(3:05) 9-D.Zastudil punts 52 yards to NE 10, Center-82-M.Leach, out of bounds.",PUNT,-0.009012985299612808,0,0,62,1,2,3,5
2012_02_ARI_NE,2012,2,0.2072422206401825,ARI,NE,ARI,"(10:56) 9-D.Zastudil punts 34 yards to NE 10, Center-82-M.Leach, fair catch by 83-W.Welker.",PUNT,3.1119479701423955,0,1,44,5,3,10,56
2012_02_ARI_NE,2012,2,0.87694549560546875,ARI,NE,ARI,"(8:05) 9-D.Zastudil punts 38 yards to NE 36, Center-82-M.Leach, downed by ARI-31-J.Bethel.",PUNT,-2.3016576639463153,0,0,74,6,4,8,5
2012_02_ARI_NE,2012,2,0.8131008744239807,ARI,NE,ARI,"(5:54) 9-D.Zastudil punts 53 yards to NE 25, Center-82-M.Leach. 11-J.Edelman pushed ob at NE 28 for 3 yards (54-Q.Groves). PENALTY on NE-23-M.Cole, Illegal Block Above the Waist, 10 yards, enforced at NE 28.",PUNT,-7.482330542647347,0,0,78,8,4,5,54
2012_03_PHI_ARI,2012,3,0.46535977721214294,ARI,ARI,PHI,"(10:43) 3-J.Feely 47 yard field goal is GOOD, Center-82-M.Leach, Holder-9-D.Zastudil.",FIELD_GOAL,-3.9603327835368347,0,0,29,18,1,10,43
2012_03_PHI_ARI,2012,3,0.5022673606872559,ARI,ARI,PHI,"(5:02) 9-D.Zastudil punts 58 yards to PHI 26, Center-82-M.Leach. 13-D.Johnson to PHI 38 for 12 yards (35-A.Sherman). FUMBLES (35-A.Sherman), RECOVERED by ARI-82-M.Leach at PHI 38. 82-M.Leach to PHI 38 for no gain (13-D.Johnson).",PUNT,-4.968366690590123,0,0,84,12,1,5,2
2012_03_PHI_ARI,2012,3,0.7170282602310181,ARI,ARI,PHI,"(10:23) 9-D.Zastudil punts 31 yards to PHI 9, Center-82-M.Leach, fair catch by 13-D.Johnson.",PUNT,0.5862299166720106,0,1,40,4,2,10,23
2012_03_PHI_ARI,2012,3,0.8555293083190918,ARI,ARI,PHI,"(2:34) 9-D.Zastudil punts 48 yards to end zone, Center-82-M.Leach, Touchback.",PUNT,-1.4505355159124491,0,0,48,9,2,2,34
2012_03_PHI_ARI,2012,3,0.992679238319397,ARI,ARI,PHI,"(11:43) 9-D.Zastudil punts 51 yards to PHI 5, Center-82-M.Leach, fair catch by 13-D.Johnson.",PUNT,0.758035069183137,0,1,56,1,3,11,43
2012_03_PHI_ARI,2012,3,0.9679769277572632,ARI,ARI,PHI,"(3:23) 9-D.Zastudil punts 50 yards to PHI 45, Center-82-M.Leach, fair catch by 13-D.Johnson.",PUNT,-6.045267266531468,0,0,95,25,3,3,23
2012_03_PHI_ARI,2012,3,0.9819129705429077,ARI,ARI,PHI,"(13:26) 9-D.Zastudil punts 45 yards to PHI 26, Center-82-M.Leach. 13-D.Johnson to PHI 30 for 4 yards (54-Q.Groves).",PUNT,1.520681695291458,0,1,71,1,4,13,26
2012_03_PHI_ARI,2012,3,0.9982041120529175,ARI,ARI,PHI,"(3:57) 3-J.Feely 27 yard field goal is GOOD, Center-82-M.Leach, Holder-9-D.Zastudil.",FIELD_GOAL,0.0764254854261992,0,1,9,8,4,3,57
