game_id,season,week,prior_wp,posteam,home_team,away_team,desc,play_type,go_boost,go,should_go,yardline_100,ydstogo,qtr,mins,seconds
2011_01_CAR_ARI,2011,1,0.6805153489112854,ARI,ARI,CAR,"(5:13) 9-D.Zastudil punts 49 yards to CAR 34, Center-82-M.Leach. 14-A.Edwards to CAR 46 for 12 yards (58-D.Washington). PENALTY on CAR-19-S.Ajirotutu, Illegal Block Above the Waist, 10 yards, enforced at CAR 40.",PUNT,-2.9787053985715772,0,0,83,13,1,5,13
2011_01_CAR_ARI,2011,1,0.6833694577217102,ARI,ARI,CAR,"(:55) 9-D.Zastudil punts 42 yards to CAR 17, Center-82-M.Leach. 14-A.Edwards to CAR 17 for no gain (36-L.Stephens-Howling).",PUNT,-0.8184179488566201,0,0,59,5,1,0,55
2011_01_CAR_ARI,2011,1,0.7410824298858643,ARI,ARI,CAR,"(1:08) 3-J.Feely 36 yard field goal is No Good, Wide Left, Center-82-M.Leach, Holder-9-D.Zastudil.",FIELD_GOAL,-5.451249669716688,0,0,18,18,2,1,8
2011_01_CAR_ARI,2011,1,0.3741949498653412,ARI,ARI,CAR,"(13:43) 9-D.Zastudil punts 52 yards to CAR 24, Center-82-M.Leach. 14-A.Edwards ran ob at CAR 34 for 10 yards (56-R.Walker).",PUNT,-0.13107673737343362,0,0,76,6,3,13,43
2011_01_CAR_ARI,2011,1,0.33870235085487366,ARI,ARI,CAR,"(3:34) 9-D.Zastudil punts 37 yards to CAR 17, Center-82-M.Leach. 14-A.Edwards to CAR 20 for 3 yards (36-L.Stephens-Howling).",PUNT,0.9794673845171218,0,1,54,9,3,3,34
2011_01_CAR_ARI,2011,1,0.9414971470832825,ARI,ARI,CAR,"(2:29) 9-D.Zastudil punts 30 yards to CAR 17, Center-82-M.Leach, out of bounds.",PUNT,-1.0519819633994416,0,0,47,6,4,2,29
2011_02_ARI_WAS,2011,2,0.363532155752182,ARI,WAS,ARI,"(8:40) 9-D.Zastudil punts 51 yards to WAS 14, Center-82-M.Leach. 16-B.Banks to WAS 19 for 5 yards (27-M.Adams).",PUNT,-1.9505072059090196,0,0,65,8,1,8,40
2011_02_ARI_WAS,2011,2,0.5406410694122314,ARI,WAS,ARI,"(6:09) 9-D.Zastudil punts 51 yards to end zone, Center-82-M.Leach, Touchback.",PUNT,-3.52322193348067,0,0,51,15,2,6,9
2011_02_ARI_WAS,2011,2,0.2645092010498047,ARI,WAS,ARI,"(1:51) 9-D.Zastudil punts 45 yards to WAS 30, Center-82-M.Leach. 16-B.Banks to ARI 35 for 35 yards (87-J.King). PENALTY on ARI-87-J.King, Face Mask (15 Yards), 15 yards, enforced at ARI 35.",PUNT,-3.544854165243475,0,0,75,14,2,1,51
2011_02_ARI_WAS,2011,2,0.2965624928474426,ARI,WAS,ARI,"(:15) 9-D.Zastudil punts 53 yards to WAS 22, Center-82-M.Leach. 16-B.Banks to WAS 29 for 7 yards (23-H.Abdullah).",PUNT,-1.2978216822441375,0,0,75,8,2,0,15
2011_02_ARI_WAS,2011,2,0.5167005062103271,ARI,WAS,ARI,"(:03) 9-D.Zastudil punts 53 yards to WAS 30, Center-82-M.Leach. 16-B.Banks pushed ob at ARI 44 for 26 yards (49-R.Johnson).",PUNT,-7.848822916338854,0,0,83,11,3,0,3
2011_02_ARI_WAS,2011,2,0.5162788033485413,ARI,WAS,ARI,"(4:28) 9-D.Zastudil punts 41 yards to WAS 36, Center-82-M.Leach, out of bounds. WAS-24-D.Gomes was injured during the play.",PUNT,-7.649372508433473,0,0,77,7,4,4,28
2011_03_ARI_SEA,2011,3,0.6423850059509277,ARI,SEA,ARI,"(6:57) 3-J.Feely 51 yard field goal is No Good, Wide Left, Center-82-M.Leach, Holder-9-D.Zastudil.",FIELD_GOAL,-6.048672358809846,0,0,33,23,1,6,57
2011_03_ARI_SEA,2011,3,0.5647721290588379,ARI,SEA,ARI,"(12:52) 3-J.Feely 44 yard field goal is GOOD, Center-82-M.Leach, Holder-9-D.Zastudil.",FIELD_GOAL,-2.4880955341501902,0,0,26,9,2,12,52
2011_03_ARI_SEA,2011,3,0.7685045003890991,ARI,SEA,ARI,"(2:00) 9-D.Zastudil punts 44 yards to SEA 43, Center-82-M.Leach. 33-L.Washington to ARI 49 for 8 yards (35-A.Sherman; 49-R.Johnson).",PUNT,0.5493651469073058,0,1,87,1,2,2,0
2011_03_ARI_SEA,2011,3,0.6918328404426575,ARI,SEA,ARI,"(12:08) 9-D.Zastudil punts 41 yards to SEA 15, Center-82-M.Leach. 33-L.Washington to SEA 28 for 13 yards (87-J.King).",PUNT,-1.1441090193713706,0,0,56,6,3,12,8
2011_03_ARI_SEA,2011,3,0.40017837285995483,ARI,SEA,ARI,"(4:08) 9-D.Zastudil punts 49 yards to SEA 26, Center-82-M.Leach, out of bounds.",PUNT,0.06170240731415788,0,1,75,5,3,4,8
2011_03_ARI_SEA,2011,3,0.41519421339035034,ARI,SEA,ARI,"(1:11) 9-D.Zastudil punts 42 yards to SEA 14, Center-82-M.Leach. 33-L.Washington to SEA 20 for 6 yards (52-S.Bradley).",PUNT,3.3491854016819786,0,1,56,4,3,1,11
2011_03_ARI_SEA,2011,3,0.37435734272003174,ARI,SEA,ARI,"(13:37) 9-D.Zastudil punts 30 yards to SEA 47, Center-82-M.Leach, out of bounds.",PUNT,3.3750133649627614,0,1,77,1,4,13,37
2011_03_ARI_SEA,2011,3,0.3479980230331421,ARI,SEA,ARI,(8:37) 46-A.Smith left tackle to ARI 42 for 2 yards (56-L.Hill; 57-D.Hawthorne).,RUSH,3.8569850178650853,1,1,60,1,4,8,37
2011_03_ARI_SEA,2011,3,0.368565171957016,ARI,SEA,ARI,"(5:28) 3-J.Feely 49 yard field goal is No Good, Short, Center-82-M.Leach, Holder-9-D.Zastudil.",FIELD_GOAL,-7.091262051818376,0,0,31,11,4,5,28
2011_03_ARI_SEA,2011,3,0.34025752544403076,ARI,SEA,ARI,"(2:00) (Shotgun) 4-K.Kolb pass incomplete short right to 11-L.Fitzgerald. PENALTY on SEA-23-M.Trufant, Defensive Pass Interference, 5 yards, enforced at SEA 39 - No Play.",PENALTY,15.13807072029342,1,1,39,1,4,2,0
2011_04_NYG_ARI,2011,4,0.5818067789077759,ARI,ARI,NYG,"(13:07) 3-J.Feely 27 yard field goal is GOOD, Center-82-M.Leach, Holder-9-D.Zastudil.",FIELD_GOAL,1.089575139896425,0,1,9,3,1,13,7
2011_04_NYG_ARI,2011,4,0.6563296914100647,ARI,ARI,NYG,(10:09) (Shotgun) 4-K.Kolb pass short left to 11-L.Fitzgerald to NYG 17 for 4 yards (23-C.Webster).,PASS,2.5242699105432607,1,1,21,1,2,10,9
