game_id,prior_wp,posteam,home_team,away_team,desc,play_type,go_boost,go,should_go,yardline_100,ydstogo,qtr,mins,seconds,week
2015_11_TEN_JAX,0.4344637095928192,TEN,JAX,TEN,"(1:49) 6-B.Kern punts 53 yards to JAX 45, Center-48-B.Brinkley. 13-R.Greene to JAX 33 for -12 yards (89-P.Supernaw). PENALTY on JAX-38-S.Brown, Running Into the Kicker, 5 yards, enforced at TEN 2 - No Play.",PENALTY,-9.744647240259745,0,0,98,14,2,1,49,11
2015_10_CAR_TEN,0.6494041681289673,CAR,TEN,CAR,"(10:59) (Punt formation) 8-B.Nortman punts 63 yards to TEN 29, Center-44-J.Jansen, out of bounds.",PUNT,-9.598966620258125,0,0,92,24,3,10,59,10
2015_05_DEN_OAK,0.6427406668663025,DEN,LV,DEN,"(11:09) 4-B.Colquitt punts 42 yards to OAK 11, Center-46-A.Brewer, downed by DEN-51-T.Davis.",PUNT,-9.500089405954732,0,0,53,18,4,11,9,5
2015_02_SEA_GB,0.6026419997215271,GB,GB,SEA,"(8:43) 8-T.Masthay punts 44 yards to SEA 46, Center-61-B.Goode. 16-T.Lockett to SEA 46 for no gain (91-J.Elliott).",PUNT,-9.318254938411137,0,0,90,16,3,8,43,2
2015_17_STL_SF,0.35340628027915955,SF,SF,LA,"(4:33) 9-P.Dawson 38 yard field goal is GOOD, Center-86-K.Nelson, Holder-5-B.Pinion.",FIELD_GOAL,-9.267461380446846,0,0,20,13,4,4,33,17
2015_13_NYJ_NYG,0.9652687305570208,NYJ,NYG,NYJ,"(8:50) 8-R.Bullock 31 yard field goal is GOOD, Center-46-T.Purdum, Holder-4-R.Quigley.",FIELD_GOAL,-9.00766057134831,0,0,13,13,5,8,50,13
2015_17_NYJ_BUF,0.9772980809211731,BUF,BUF,NYJ,"(:55) 6-C.Schmidt punts 49 yards to NYJ 12, Center-65-G.Sanborn. 11-J.Kerley to NYJ 18 for 6 yards (59-A.Tarpley).",PUNT,-8.95027580459417,0,0,61,5,4,0,55,17
2015_04_BAL_PIT,0.5818536877632141,PIT,PIT,BAL,"(5:56) (Punt formation) 4-J.Berry punts 40 yards to PIT 47, Center-60-G.Warren. 15-M.Campanaro to PIT 33 for 14 yards (35-R.Ventrone). PENALTY on PIT-29-S.Thomas, Player Out of Bounds on Punt, 5 yards, enforced at PIT 33.",PUNT,-8.880979228914164,0,0,93,23,3,5,56,4
2015_06_HOU_JAX,0.48657354712486267,HOU,JAX,HOU,"(1:52) 9-S.Lechler punts 37 yards to JAX 48, Center-46-J.Weeks. 81-B.Walters to HOU 45 for 7 yards (35-E.Pleasant). PENALTY on JAX-25-P.Thompson, Unnecessary Roughness, 15 yards, enforced at HOU 45.",PUNT,-8.851053791879828,0,0,85,12,2,1,52,6
2015_04_STL_ARI,0.48849061131477356,LA,ARI,LA,"(15:00) 6-J.Hekker punts 44 yards to ARI 48, Center-44-J.McQuaide. 21-P.Peterson to ARI 48 for no gain (50-C.Lynch).",PUNT,-8.816201673177076,0,0,92,14,4,15,0,4
2015_16_CIN_DEN,0.5047969818115234,CIN,DEN,CIN,"(8:10) 10-K.Huber punts 46 yards to DEN 39, Center-46-C.Harris, fair catch by 11-J.Norwood.",PUNT,-8.799332934614917,0,0,85,15,3,8,10,16
2015_11_TEN_JAX,0.5344018936157227,JAX,JAX,TEN,"(:35) 2-J.Myers 32 yard field goal is GOOD, Center-46-C.Tinker, Holder-19-B.Anger.",FIELD_GOAL,-8.743172149099635,0,0,14,12,2,0,35,11
2015_07_MIN_DET,0.708036482334137,MIN,DET,MIN,"(6:11) 3-B.Walsh 35 yard field goal is GOOD, Center-47-K.McDermott, Holder-18-J.Locke.",FIELD_GOAL,-8.596877670525927,0,0,17,17,3,6,11,7
2015_09_STL_MIN,0.633877158164978,MIN,MIN,LA,"(4:27) (Punt formation) 18-J.Locke punts 54 yards to STL 12, Center-47-K.McDermott. 11-T.Austin to STL 20 for 8 yards (58-B.Watts).",PUNT,-8.547784999414532,0,0,66,18,3,4,27,9
2015_11_GB_MIN,0.6552612781524658,GB,MIN,GB,"(3:40) (Punt formation) 8-T.Masthay punts 18 yards to GB 42, Center-61-B.Goode, out of bounds. Punt Partially Blocked by 31",PUNT,-8.465783244861981,0,0,76,22,2,3,40,11
2015_12_TB_IND,0.4763619899749756,TB,IND,TB,"(8:39) 5-J.Schum punts 54 yards to IND 34, Center-48-A.DePaola. 11-Q.Bray pushed ob at TB 46 for 20 yards (48-A.DePaola).",PUNT,-8.452448793458629,0,0,88,18,3,8,39,12
2015_11_IND_ATL,0.7712772488594055,IND,ATL,IND,"(:57) 4-A.Vinatieri 43 yard field goal is GOOD, Center-45-M.Overton, Holder-1-P.McAfee.",FIELD_GOAL,-8.386296460053956,0,0,25,3,4,0,57,11
