game_id,season,week,prior_wp,posteam,home_team,away_team,desc,play_type,go_boost,go,should_go,yardline_100,ydstogo,qtr,mins,seconds
2010_01_ARI_STL,2010,1,0.5375282168388367,ARI,LA,ARI,"(8:12) B.Graham punts 46 yards to STL 11, Center-M.Leach, out of bounds.",NA,-1.699586214212495,0,0,57,10,1,8,12
2010_01_ARI_STL,2010,1,0.5737268924713135,ARI,LA,ARI,"(4:57) B.Graham punts 29 yards to STL 10, Center-M.Leach, fair catch by D.Amendola.",NA,-1.5184644571166928,0,0,39,10,1,4,57
2010_01_ARI_STL,2010,1,0.6480750441551208,ARI,LA,ARI,"(13:57) J.Feely 22 yard field goal is GOOD, Center-M.Leach, Holder-B.Graham.",NA,-2.155831393759115,0,0,4,3,2,13,57
2010_01_ARI_STL,2010,1,0.6234217286109924,ARI,LA,ARI,"(10:15) B.Graham punts 59 yards to STL 27, Center-M.Leach. D.Amendola to STL 38 for 11 yards (M.Leach). PENALTY on STL-B.Fletcher, Offensive Holding, 10 yards, enforced at STL 38.",NA,-4.295182027115729,0,0,86,10,2,10,15
2010_01_ARI_STL,2010,1,0.7402136325836182,ARI,LA,ARI,"(1:32) B.Graham punts 51 yards to STL 37, Center-M.Leach, downed by ARI.",NA,-4.5178406706787655,0,0,88,12,2,1,32
2010_01_ARI_STL,2010,1,0.47375234961509705,ARI,LA,ARI,"(12:14) B.Graham punts 52 yards to STL 35, Center-M.Leach. D.Amendola to STL 34 for -1 yards (M.Adams). PENALTY on ARI, Ineligible Downfield Kick, 0 yards, enforced at ARI 13 - No Play. No yardage marked off for penalty",NA,-6.009216021493707,0,0,87,19,3,12,14
2010_01_ARI_STL,2010,1,0.40484607219696045,ARI,LA,ARI,"(3:48) B.Graham punts 35 yards to STL 30, Center-M.Leach. D.Amendola to STL 30 for no gain (T.McBride). STL-K.Dockery was injured during the play. STL-D.Amendola was injured during the play.",NA,-1.819856301043309,0,0,65,11,3,3,48
2010_02_ARI_ATL,2010,2,0.1665329486131668,ARI,ATL,ARI,"(6:34) B.Graham punts 62 yards to end zone, Center-M.Leach, Touchback.",NA,1.794659178253676,0,1,62,3,1,6,34
2010_02_ARI_ATL,2010,2,0.10049225389957428,ARI,ATL,ARI,"(7:36) B.Graham punts 28 yards to ATL 22, Center-M.Leach, out of bounds.",NA,0.27953152503108036,0,1,50,11,2,7,36
2010_02_ARI_ATL,2010,2,0.04019676148891449,ARI,ATL,ARI,"(:43) J.Feely 54 yard field goal is No Good, Short, Center-M.Leach, Holder-B.Graham.",NA,0.16838635263423374,0,1,36,3,2,0,43
2010_02_ARI_ATL,2010,2,0.03380946069955826,ARI,ATL,ARI,(:01) (Shotgun) D.Anderson pass incomplete deep left to M.Komar (D.Robinson).,NA,0.09994317378158701,1,1,60,16,2,0,1
2010_02_ARI_ATL,2010,2,0.004954895004630089,ARI,ATL,ARI,"(10:41) B.Graham punts 41 yards to ATL 14, Center-M.Leach, fair catch by E.Weems.",NA,0.17021036025152492,0,1,55,4,3,10,41
2010_02_ARI_ATL,2010,2,2.669472887646407e-4,ARI,ATL,ARI,"(1:50) B.Graham punts 57 yards to ATL 18, Center-M.Leach. E.Weems to ATL 35 for 17 yards (J.Wright).",NA,-0.016168725849063925,0,0,75,1,3,1,50
2010_02_ARI_ATL,2010,2,2.7694759774021804e-4,ARI,ATL,ARI,"(9:52) B.Graham punts 32 yards to ATL 20, Center-M.Leach, fair catch by E.Weems.",NA,-0.0010507256541409174,0,0,52,6,4,9,52
2010_03_OAK_ARI,2010,3,0.764156699180603,ARI,ARI,LV,"(11:56) B.Graham punts 56 yards to OAK 36, Center-M.Leach. J.Higgins to OAK 41 for 5 yards (M.Adams).",NA,-2.2007670332609592,0,0,92,5,1,11,56
2010_03_OAK_ARI,2010,3,0.6593591570854187,ARI,ARI,LV,"(9:16) B.Graham punts 40 yards to OAK 5, impetus ends at OAK 4, Center-M.Leach, downed by ARI-M.Ware.",NA,-0.9428412778259911,0,0,45,10,1,9,16
2010_03_OAK_ARI,2010,3,0.655984103679657,ARI,ARI,LV,"(4:02) J.Feely 42 yard field goal is GOOD, Center-M.Leach, Holder-B.Graham.",NA,-0.8251000919564575,0,0,24,5,1,4,2
2010_03_OAK_ARI,2010,3,0.6403028964996338,ARI,ARI,LV,"(13:27) T.Hightower up the middle to OAK 21 for 2 yards (R.McClain, T.Kelly).",NA,1.6715086017652396,1,1,23,1,2,13,27
