game_id,prior_wp,posteam,home_team,away_team,desc,play_type,go_boost,go,should_go,yardline_100,ydstogo,qtr,mins,seconds,week
2016_05_PHI_DET,0.5646618604660034,DET,DET,PHI,"(1:32) 5-M.Prater 29 yard field goal is GOOD, Center-48-D.Muhlbach, Holder-6-S.Martin.",FIELD_GOAL,-45.21769676990668,0,0,11,11,4,1,32,5
2016_10_KC_CAR,0.35881954431533813,KC,CAR,KC,"(:43) 2-D.Colquitt punts 53 yards to CAR 21, Center-41-J.Winchester. 19-T.Ginn ran ob at CAR 33 for 12 yards (41-J.Winchester). PENALTY on CAR-55-D.Mayo, Illegal Block Above the Waist, 10 yards, enforced at CAR 30.",PUNT,-25.333874265828744,0,0,74,15,4,0,43,10
2016_01_NE_ARI,0.6684059500694275,ARI,ARI,NE,"(:41) 7-C.Catanzaro 47 yard field goal is No Good, Wide Left, Center-86-K.Canaday, Holder-2-D.Butler.",FIELD_GOAL,-20.840904842943942,0,0,29,5,4,0,41,1
2016_08_PHI_DAL,0.25331738591194153,PHI,DAL,PHI,"(:46) (Punt formation) 8-D.Jones punts 53 yards to DAL 38, Center-46-J.Dorenbos, fair catch by 13-L.Whitehead. PENALTY on DAL-51-K.Wilber, Offensive Holding, 10 yards, enforced at DAL 38.",PUNT,-18.609309791949144,0,0,91,21,4,0,46,8
2016_14_NYJ_SF,0.6992631554603577,SF,SF,NYJ,"(2:42) 5-B.Pinion punts 40 yards to NYJ 35, Center-86-K.Nelson, fair catch by 30-N.Marshall.",PUNT,-17.969322613040895,0,0,75,21,4,2,42,14
2016_16_SD_CLE,0.5327053070068359,CLE,CLE,LAC,"(5:00) 4-B.Colquitt punts 41 yards to CLE 44, Center-47-C.Hughlett. 89-I.Burse to CLE 33 for 11 yards (58-C.Kirksey).",PUNT,-16.226435636117905,0,0,97,18,4,5,0,16
2016_10_LA_NYJ,0.7280272841453552,LA,NYJ,LA,"(3:01) 6-J.Hekker punts 49 yards to NYJ 23, Center-44-J.McQuaide, fair catch by 89-J.Marshall.",PUNT,-16.22574576822526,0,0,72,12,4,3,1,10
2016_15_OAK_SD,0.6250166296958923,LV,LAC,LV,"(2:42) 11-S.Janikowski 44 yard field goal is GOOD, Center-59-J.Condo, Holder-7-M.King.",FIELD_GOAL,-15.819711154986273,0,0,26,15,4,2,42,15
2016_03_LA_TB,0.7321184277534485,LA,TB,LA,"(1:52) (Punt formation) 6-J.Hekker punts 64 yards to TB 31, Center-44-J.McQuaide. 11-A.Humphries ran ob at TB 44 for 13 yards (54-B.Hager).",PUNT,-15.572189918272898,0,0,95,11,4,1,52,3
2016_03_CLE_MIA,0.7391915321350098,MIA,MIA,CLE,"(6:28) (Punt formation) 4-M.Darr punts 55 yards to CLE 12, Center-92-J.Denney. 33-J.Poyer to CLE 29 for 17 yards (31-M.Thomas). PENALTY on CLE-59-T.Carder, Offensive Holding, 6 yards, enforced at CLE 12.",PUNT,-13.724748669305484,0,0,67,24,4,6,28,3
2016_04_LA_ARI,0.7374779582023621,ARI,ARI,LA,"(5:26) 9-R.Quigley punts 51 yards to LA 19, Center-46-A.Brewer. 11-T.Austin to ARI 34 for 47 yards (80-I.Momah). PENALTY on ARI-80-I.Momah, Face Mask (15 Yards), 15 yards, enforced at ARI 34.",PUNT,-13.33299677813229,0,0,70,15,4,5,26,4
2016_07_WAS_DET,0.6299334168434143,DET,DET,WAS,"(5:27) 6-S.Martin punts 44 yards to WAS 24, Center-48-D.Muhlbach, fair catch by 41-W.Blackmon.",PUNT,-13.250606771407952,0,0,68,14,4,5,27,7
2016_17_JAX_IND,0.4195086359977722,IND,IND,JAX,"(2:00) (Punt formation) 1-P.McAfee punt is BLOCKED by 55-D.Skuta, Center-45-M.Overton, recovered by IND-44-A.Morrison at IND 19. 44-A.Morrison pass incomplete short left to 1-P.McAfee. By rule the next play begins at the previous spot. The Replay Official reviewed the incomplete pass ruling, and the play was Upheld. The ruling on the field was confirmed.",PUNT,-12.825972754961807,1,0,70,24,4,2,0,17
2016_17_CAR_TB,0.5647486448287964,CAR,TB,CAR,"(6:10) (Field Goal formation) 9-G.Gano 36 yard field goal is No Good, Wide Right, Center-44-J.Jansen, Holder-5-M.Palardy.",FIELD_GOAL,-12.31848589021007,0,0,18,14,4,6,10,17
2016_01_GB_JAX,0.7519589066505432,GB,JAX,GB,"(3:23) 10-J.Schum punts 34 yards to JAX 47, Center-61-B.Goode, out of bounds. PENALTY on JAX-20-J.Ramsey, Offensive Holding, 10 yards, enforced at JAX 47.",PUNT,-12.112038797981867,0,0,81,9,4,3,23,1
2016_01_BUF_BAL,0.6299940943717957,BAL,BAL,BUF,"(12:59) (Punt formation) 4-S.Koch punts 43 yards to BUF 35, Center-46-M.Cox, fair catch by 22-R.Bush.",PUNT,-11.775621459872532,0,0,78,18,4,12,59,1
2016_07_SEA_ARI,0.7263929843902588,ARI,ARI,SEA,"(4:44) 9-R.Quigley punt is BLOCKED by 19-T.McEvoy, Center-46-A.Brewer, RECOVERED by SEA-91-C.Marsh at ARI 31. 91-C.Marsh to ARI 27 for 4 yards (80-I.Momah). PENALTY on ARI-28-J.Bethel, Illegal Motion, 5 yards, enforced at ARI 27.",PUNT,-11.276667503822566,0,0,62,11,4,4,44,7
2016_07_BUF_MIA,0.6205280423164368,BUF,MIA,BUF,"(7:55) (Punt formation) 6-C.Schmidt punts 57 yards to MIA 28, Center-65-G.Sanborn. 14-J.Landry to MIA 36 for 8 yards (57-L.Alexander).",PUNT,-11.065842820880881,0,0,85,15,4,7,55,7
2016_03_SD_IND,0.5599408149719238,IND,IND,LAC,"(12:10) 1-P.McAfee punts 44 yards to SD 19, Center-45-M.Overton. 12-T.Benjamin MUFFS catch, touched at SD 19, recovered by SD-22-J.Verrett at SD 18. 22-J.Verrett to SD 18 for no gain (92-C.Maggitt). SD-22-J.Verrett was injured during the play.",PUNT,-10.799556276417007,0,0,63,24,4,12,10,3
2016_10_MIA_SD,0.6478860378265381,MIA,LAC,MIA,"(5:21) 4-M.Darr punts 47 yards to SD 21, Center-92-J.Denney. 89-I.Burse to SD 42 for 21 yards (46-N.Hewitt).",PUNT,-10.794128085131078,0,0,68,19,4,5,21,10
2016_01_CAR_DEN,0.37399256229400635,DEN,DEN,CAR,"(3:17) 9-R.Dixon punts 42 yards to CAR 40, Center-42-C.Kreiter, downed by DEN-57-D.Watson.",PUNT,-10.388126368284375,0,0,82,17,4,3,17,1
2016_05_TB_CAR,0.5374359488487244,TB,CAR,TB,"(3:38) 19-R.Aguayo 46 yard field goal is No Good, Wide Left, Center-48-A.DePaola, Holder-9-B.Anger.",FIELD_GOAL,-10.290215487211384,0,0,28,10,4,3,38,5
2016_06_IND_HOU,0.9130535125732422,IND,HOU,IND,"(2:00) 1-P.McAfee punts 49 yards to HOU 41, Center-45-M.Overton. 34-T.Ervin pushed ob at HOU 47 for 6 yards (53-E.Jackson).",PUNT,-10.186643495412227,0,0,90,21,4,2,0,6
2016_08_WAS_CIN,0.7038360834121704,CIN,CIN,WAS,"(3:27) (Punt formation) 10-K.Huber punts 58 yards to WAS 10, Center-46-C.Harris. 80-J.Crowder to WAS 33 for 23 yards (33-R.Burkhead).",PUNT,-10.116706398066327,0,0,68,9,4,3,27,8
2016_08_GB_ATL,0.5729225277900696,ATL,ATL,GB,"(12:43) 5-M.Bosher punts 52 yards to GB 23, Center-47-J.Harris. 11-T.Davis to GB 28 for 5 yards (36-K.Ishmael). PENALTY on GB-29-K.Brice, Face Mask (15 Yards), 14 yards, enforced at GB 28.",PUNT,-10.008243906280612,0,0,75,18,4,12,43,8
