posteam,n.reg,go.reg,n.post,go.post,went_for_it_rate.reg,went_for_it_rate.post,difference
BAL,99,43,14,6,0.43434343434343436,0.42857142857142855,-0.005772005772005817
KC,139,37,14,8,0.26618705035971224,0.5714285714285714,0.30524152106885916
NE,188,48,37,5,0.2553191489361702,0.13513513513513514,-0.12018401380103505
NO,154,46,14,3,0.2987012987012987,0.21428571428571427,-0.08441558441558442
PIT,154,29,13,2,0.18831168831168832,0.15384615384615385,-0.034465534465534464
SEA,182,39,26,5,0.21428571428571427,0.19230769230769232,-0.021978021978021955
